id,name,peinfo,rate
1,bo_In1,2,0.1
2,bo_Add,2,0.1
3,bo_Add1,2,0.1
4,bo_Add2,2,0.1
5,bo_Add3,3,0.1
6,bo_Add4,1,0.1
7,bo_Gain,2,0.1
8,bo_Gain1,2,0.1
9,bo_Gain10,3,0.1
10,bo_Gain11,2,0.1
11,bo_Gain12,2,0.1
12,bo_Gain13,2,0.1
13,bo_Gain14,2,0.1
14,bo_Gain15,1,0.1
15,bo_Gain16,1,0.1
16,bo_Gain17,1,0.1
17,bo_Gain18,1,0.1
18,bo_Gain19,1,0.1
19,bo_Gain2,2,0.1
20,bo_Gain20,1,0.1
21,bo_Gain21,1,0.1
22,bo_Gain22,0,0.1
23,bo_Gain23,0,0.1
24,bo_Gain24,0,0.1
25,bo_Gain25,0,0.1
26,bo_Gain26,0,0.1
27,bo_Gain27,0,0.1
28,bo_Gain28,0,0.1
29,bo_Gain3,2,0.1
30,bo_Gain4,2,0.1
31,bo_Gain5,3,0.1
32,bo_Gain6,3,0.1
33,bo_Gain7,3,0.1
34,bo_Gain8,3,0.1
35,bo_Gain9,3,0.1
36,bo_MathFunction1,2,0.1
37,bo_MathFunction10,3,0.1
38,bo_MathFunction11,1,0.1
39,bo_MathFunction12,1,0.1
40,bo_MathFunction13,1,0.1
41,bo_MathFunction14,1,0.1
42,bo_MathFunction15,0,0.1
43,bo_MathFunction16,0,0.1
44,bo_MathFunction17,0,0.1
45,bo_MathFunction18,0,0.1
46,bo_MathFunction2,2,0.1
47,bo_MathFunction3,2,0.1
48,bo_MathFunction4,2,0.1
49,bo_MathFunction5,3,0.1
50,bo_MathFunction6,3,0.1
51,bo_MathFunction7,3,0.1
52,bo_MathFunction8,3,0.1
53,bo_MathFunction9,3,0.1
54,bo_Sqrt1,2,0.1
55,bo_Sqrt2,2,0.1
56,bo_Sqrt3,3,0.1
57,bo_Sqrt4,3,0.1
58,bo_Sqrt5,3,0.1
59,bo_Out1,3,0.1
