% # of blocks, # maximum delay
85,372
% block no, block name, core, start time, end time
0,synmmodel_ctrl_risan_noMF_100us_Currentcontroller,1,215,220
1,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_M2E,1,140,145
2,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq,1,220,225
3,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Add,1,90,95
4,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Add1,1,85,90
5,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Gain,1,80,85
6,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Product,1,70,75
7,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Product1,1,75,80
8,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Product2,1,50,55
9,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_Product3,1,65,70
10,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_TrigonometricFunction,1,60,65
11,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_TrigonometricFunction1,1,40,45
12,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_a,1,45,50
13,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_b,1,55,60
14,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_d,1,115,120
15,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_q,1,120,125
16,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ab2dq_thetae,1,25,30
17,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon,0,362,367
18,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Add,0,205,210
19,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Add1,1,210,215
20,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Add2,0,235,240
21,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Constant1,0,245,246
22,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Constant2,0,251,252
23,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Divide1,0,246,251
24,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Gain,0,190,195
25,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Gain1,1,205,210
26,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Gain2,0,185,190
27,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Gain3,1,190,195
28,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_In1,0,20,25
29,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_In2,1,135,140
30,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_In3,1,130,135
31,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_In4,1,125,130
32,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_In5,1,145,150
33,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Integrator,0,180,185
34,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Integrator1,1,185,190
35,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Ld0,1,195,200
36,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Lq0,0,200,205
37,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Out1,0,267,272
38,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Out2,0,272,277
39,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Product,1,180,185
40,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Product1,1,175,180
41,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Product2,0,210,215
42,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Product3,0,230,235
43,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Product6,0,262,267
44,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Product7,0,257,262
45,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Sqrt,0,240,245
46,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_Switch,0,252,257
47,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_id,1,155,160
48,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_id_ref,0,25,30
49,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_iq,1,160,165
50,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_iq_ref,1,150,155
51,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_ke,1,200,205
52,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_wre,1,170,175
53,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_wred,0,175,180
54,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_currentcon_wreq,1,165,170
55,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab,0,367,372
56,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Add,0,327,332
57,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Out1,0,337,342
58,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Out2,0,332,337
59,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Product,0,307,312
60,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Product1,0,317,322
61,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Product2,0,302,307
62,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Product3,0,312,317
63,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_Subtract,0,322,327
64,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_TrigonometricFunction,0,287,292
65,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_TrigonometricFunction1,0,282,287
66,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_d,0,297,302
67,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_q,0,292,297
68,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_dq2ab_thetae,0,277,282
69,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ia,1,5,10
70,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_ib,1,35,40
71,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_idref,0,15,20
72,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_iqref,1,110,115
73,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_theta_erad,0,5,10
74,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_va,0,342,347
75,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_vb,0,347,352
76,synmmodel_ctrl_risan_noMF_100us_Currentcontroller_wrm,1,105,110
77,synmmodel_ctrl_risan_noMF_100us_ia,1,0,5
78,synmmodel_ctrl_risan_noMF_100us_ib,1,30,35
79,synmmodel_ctrl_risan_noMF_100us_idref,0,10,15
80,synmmodel_ctrl_risan_noMF_100us_iqref,1,95,100
81,synmmodel_ctrl_risan_noMF_100us_theta_erad,0,0,5
82,synmmodel_ctrl_risan_noMF_100us_va,0,357,362
83,synmmodel_ctrl_risan_noMF_100us_vb,0,352,357
84,synmmodel_ctrl_risan_noMF_100us_wrm,1,100,105
