% # of blocks, # maximum delay
174,208563
% block no, block name, core, start time, end time
0,a_controller_System,1,208551,208551
1,a_controller_System_Terminator,1,208553,208553
2,a_controller_System_Terminator1,0,202110,202111
3,a_controller_System_duty,1,208549,208549
4,a_controller_System_duty_culc,1,208551,208551
5,a_controller_System_duty_culc_Abs1,0,154423,154490
6,a_controller_System_duty_culc_Constant1,1,158633,158633
7,a_controller_System_duty_culc_Constant10,1,144505,144505
8,a_controller_System_duty_culc_Constant12,1,205343,205343
9,a_controller_System_duty_culc_Constant2,0,154127,154128
10,a_controller_System_duty_culc_Constant24,1,158634,158634
11,a_controller_System_duty_culc_Constant25,1,105310,105310
12,a_controller_System_duty_culc_Constant26,1,158635,158635
13,a_controller_System_duty_culc_Constant27,1,130974,130974
14,a_controller_System_duty_culc_Constant3,0,154279,154280
15,a_controller_System_duty_culc_Constant4,0,154351,154352
16,a_controller_System_duty_culc_Constant5,0,154619,154620
17,a_controller_System_duty_culc_Constant6,1,158636,158636
18,a_controller_System_duty_culc_Constant7,1,161837,161837
19,a_controller_System_duty_culc_Constant8,1,165038,165038
20,a_controller_System_duty_culc_Constant9,1,138128,138128
21,a_controller_System_duty_culc_Divide1,0,153966,154047
22,a_controller_System_duty_culc_Divide2,0,154198,154279
23,a_controller_System_duty_culc_Product1,0,154280,154351
24,a_controller_System_duty_culc_Product2,0,154701,154782
25,a_controller_System_duty_culc_Product3,1,171490,177215
26,a_controller_System_duty_culc_RateTransition2,0,154865,154918
27,a_controller_System_duty_culc_RateTransition3,1,198828,202090
28,a_controller_System_duty_culc_Saturation1,0,154782,154865
29,a_controller_System_duty_culc_Subsystem1,1,208551,208551
30,a_controller_System_duty_culc_Subsystem1_Constant,1,202090,202090
31,a_controller_System_duty_culc_Subsystem1_Divide,1,202091,205341
32,a_controller_System_duty_culc_Subsystem1_In1,1,208544,208544
33,a_controller_System_duty_culc_Subsystem1_Out1,1,208545,208545
34,a_controller_System_duty_culc_Subsystem1_Subtract,1,108511,126911
35,a_controller_System_duty_culc_Subsystem1_UnitDelay,1,10300,15450
36,a_controller_System_duty_culc_Subsystem1_UnitDelay1,1,15450,20600
37,a_controller_System_duty_culc_Subsystem1_UnitDelay10,1,20600,25750
38,a_controller_System_duty_culc_Subsystem1_UnitDelay11,1,25750,30900
39,a_controller_System_duty_culc_Subsystem1_UnitDelay12,1,30900,36050
40,a_controller_System_duty_culc_Subsystem1_UnitDelay13,1,36050,41200
41,a_controller_System_duty_culc_Subsystem1_UnitDelay14,1,41200,46350
42,a_controller_System_duty_culc_Subsystem1_UnitDelay2,1,46350,51500
43,a_controller_System_duty_culc_Subsystem1_UnitDelay3,1,51500,56650
44,a_controller_System_duty_culc_Subsystem1_UnitDelay4,1,56650,61800
45,a_controller_System_duty_culc_Subsystem1_UnitDelay5,1,61800,66950
46,a_controller_System_duty_culc_Subsystem1_UnitDelay6,1,66950,72100
47,a_controller_System_duty_culc_Subsystem1_UnitDelay7,1,72100,77250
48,a_controller_System_duty_culc_Subsystem1_UnitDelay8,1,77250,82400
49,a_controller_System_duty_culc_Subsystem1_UnitDelay9,1,82400,87550
50,a_controller_System_duty_culc_Subsystem1_Zero_OrderHold,1,97510,100160
51,a_controller_System_duty_culc_Sum3,0,154047,154127
52,a_controller_System_duty_culc_Sum4,0,154128,154198
53,a_controller_System_duty_culc_Sum5,0,154352,154423
54,a_controller_System_duty_culc_Switch1,0,154620,154701
55,a_controller_System_duty_culc_Switch16,1,105311,108511
56,a_controller_System_duty_culc_Switch17,1,130975,134175
57,a_controller_System_duty_culc_Switch2,1,161838,165038
58,a_controller_System_duty_culc_Switch3,1,158637,161837
59,a_controller_System_duty_culc_Switch4,1,165039,168239
60,a_controller_System_duty_culc_Switch5,1,138129,141329
61,a_controller_System_duty_culc_Switch6,1,154933,158633
62,a_controller_System_duty_culc_Switch8,1,205344,208544
63,a_controller_System_duty_culc_UnitDelay1,0,154490,154619
64,a_controller_System_duty_culc_Zero_OrderHold1,1,91456,94106
65,a_controller_System_duty_culc_Zero_OrderHold4,0,153836,153901
66,a_controller_System_duty_culc_Zero_OrderHold5,0,153901,153966
67,a_controller_System_duty_culc_duty22,1,208548,208548
68,a_controller_System_duty_culc_w,1,205342,205342
69,a_controller_System_duty_culc_w_ast,0,202111,202112
70,a_controller_System_iuvw,0,202107,202108
71,a_controller_System_pos,1,87553,87553
72,a_controller_System_pos_to_theta,1,208551,208551
73,a_controller_System_pos_to_theta_Constant,1,177216,177216
74,a_controller_System_pos_to_theta_Constant1,1,177217,177217
75,a_controller_System_pos_to_theta_Constant2,1,177218,177218
76,a_controller_System_pos_to_theta_Constant3,1,177219,177219
77,a_controller_System_pos_to_theta_Constant4,1,177220,177220
78,a_controller_System_pos_to_theta_Constant5,1,177221,177221
79,a_controller_System_pos_to_theta_Gain,1,187149,191424
80,a_controller_System_pos_to_theta_MultiportSwitch,1,177222,180247
81,a_controller_System_pos_to_theta_pos,1,177215,177215
82,a_controller_System_pos_to_theta_theta,1,208546,208546
83,a_controller_System_rpm_culc,1,208551,208551
84,a_controller_System_rpm_culc_Constant,1,180247,180247
85,a_controller_System_rpm_culc_Constant1,1,168239,168239
86,a_controller_System_rpm_culc_Divide,1,168240,171490
87,a_controller_System_rpm_culc_Gain,1,141330,144505
88,a_controller_System_rpm_culc_Switch,1,180248,183948
89,a_controller_System_rpm_culc_counter,1,208551,208551
90,a_controller_System_rpm_culc_counter_Constant,1,183948,183948
91,a_controller_System_rpm_culc_counter_Constant5,1,195377,195377
92,a_controller_System_rpm_culc_counter_Sum,1,183949,187149
93,a_controller_System_rpm_culc_counter_Switch,1,195378,198828
94,a_controller_System_rpm_culc_counter_UnitDelay,1,5150,10300
95,a_controller_System_rpm_culc_counter_count,1,94106,94106
96,a_controller_System_rpm_culc_counter_if,1,195376,195376
97,a_controller_System_rpm_culc_culc_div_num,1,208551,208551
98,a_controller_System_rpm_culc_culc_div_num_Switch1,1,134178,138128
99,a_controller_System_rpm_culc_culc_div_num_UnitDelay,1,100160,105310
100,a_controller_System_rpm_culc_culc_div_num_count,1,134177,134177
101,a_controller_System_rpm_culc_culc_div_num_div_num,1,141329,141329
102,a_controller_System_rpm_culc_culc_div_num_if,1,134176,134176
103,a_controller_System_rpm_culc_if,1,208551,208551
104,a_controller_System_rpm_culc_if_CompareToConstant,1,208551,208551
105,a_controller_System_rpm_culc_if_CompareToConstant_Compare,1,94110,97510
106,a_controller_System_rpm_culc_if_CompareToConstant_Constant,1,94109,94109
107,a_controller_System_rpm_culc_if_CompareToConstant_u,1,94108,94108
108,a_controller_System_rpm_culc_if_CompareToConstant_y,1,126911,126911
109,a_controller_System_rpm_culc_if_LogicalOperator,1,126912,130974
110,a_controller_System_rpm_culc_if_RelationalOperator,1,87556,91456
111,a_controller_System_rpm_culc_if_count,1,94107,94107
112,a_controller_System_rpm_culc_if_if,1,134175,134175
113,a_controller_System_rpm_culc_if_pos,1,87555,87555
114,a_controller_System_rpm_culc_if_prev_pos,1,87551,87551
115,a_controller_System_rpm_culc_pos,1,87554,87554
116,a_controller_System_rpm_culc_rpm,1,205341,205341
117,a_controller_System_rpm_culc_update_prev_pos,1,208551,208551
118,a_controller_System_rpm_culc_update_prev_pos_Switch3,1,191426,195376
119,a_controller_System_rpm_culc_update_prev_pos_UnitDelay1,1,0,5150
120,a_controller_System_rpm_culc_update_prev_pos_if,1,191424,191424
121,a_controller_System_rpm_culc_update_prev_pos_pos,1,191425,191425
122,a_controller_System_rpm_culc_update_prev_pos_prev_pos,1,87550,87550
123,a_controller_System_sector,0,202108,202109
124,a_controller_System_sector_culc,0,202112,202113
125,a_controller_System_sector_culc_Constant,0,52256,52257
126,a_controller_System_sector_culc_Constant1,0,52257,52258
127,a_controller_System_sector_culc_Constant10,0,45855,45856
128,a_controller_System_sector_culc_Constant11,0,52258,52259
129,a_controller_System_sector_culc_Constant12,0,52259,52260
130,a_controller_System_sector_culc_Constant13,0,52260,52261
131,a_controller_System_sector_culc_Constant14,0,52261,52262
132,a_controller_System_sector_culc_Constant15,0,52262,52263
133,a_controller_System_sector_culc_Constant16,0,52263,52264
134,a_controller_System_sector_culc_Constant17,0,154921,154922
135,a_controller_System_sector_culc_Constant2,0,52264,52265
136,a_controller_System_sector_culc_Constant3,0,52265,52266
137,a_controller_System_sector_culc_Constant34,0,52266,52267
138,a_controller_System_sector_culc_Constant35,0,52267,52268
139,a_controller_System_sector_culc_Constant36,0,13850,13851
140,a_controller_System_sector_culc_Constant4,0,20251,20252
141,a_controller_System_sector_culc_Constant5,0,52268,52269
142,a_controller_System_sector_culc_Constant6,0,52269,52270
143,a_controller_System_sector_culc_Constant7,0,26652,26653
144,a_controller_System_sector_culc_Constant8,0,33053,33054
145,a_controller_System_sector_culc_Constant9,0,39454,39455
146,a_controller_System_sector_culc_Gain,0,5300,13850
147,a_controller_System_sector_culc_Product,0,112736,153836
148,a_controller_System_sector_culc_Switch1,0,154922,165178
149,a_controller_System_sector_culc_Switch10,0,95460,104098
150,a_controller_System_sector_culc_Switch11,0,45856,52256
151,a_controller_System_sector_culc_Switch12,0,86822,95460
152,a_controller_System_sector_culc_Switch2,0,78184,86822
153,a_controller_System_sector_culc_Switch23,0,60908,69546
154,a_controller_System_sector_culc_Switch24,0,13851,20251
155,a_controller_System_sector_culc_Switch3,0,20252,26652
156,a_controller_System_sector_culc_Switch4,0,69546,78184
157,a_controller_System_sector_culc_Switch5,0,26653,33053
158,a_controller_System_sector_culc_Switch6,0,52270,60908
159,a_controller_System_sector_culc_Switch7,0,33054,39454
160,a_controller_System_sector_culc_Switch8,0,104098,112736
161,a_controller_System_sector_culc_Switch9,0,39455,45855
162,a_controller_System_sector_culc_Zero_OrderHold1,0,0,5300
163,a_controller_System_sector_culc_sector,0,202105,202106
164,a_controller_System_sector_culc_theta,1,208547,208547
165,a_controller_System_sector_culc_w,0,154920,154921
166,a_controller_System_speed_command,0,154919,154920
167,a_controller_System_wre,1,208552,208552
168,a_controller_duty,1,208550,208550
169,a_controller_iuvw,0,202106,202107
170,a_controller_pos,1,87552,87552
171,a_controller_sector,0,202109,202110
172,a_controller_speed_command,0,154918,154919
173,a_controller_wre,1,208551,208551
