% # of blocks, # of connections, # maximum delay
16,0,151.25
% block no, block name, core, start time, end time
1,Fibonacci_Abs,0,104.75,134.75
2,Fibonacci_Add,1,13.5,29.25
3,Fibonacci_Divide,0,63.5,89.0
4,Fibonacci_Fn,1,0.0,0.0
4,Fibonacci_Fn[task],1,0.0,13.5
4,Fibonacci_Fn[update],1,29.25,42.0
5,Fibonacci_Fn_1,1,13.5,27.0
5,Fibonacci_Fn_1[task],1,0.0,13.5
5,Fibonacci_Fn_1[update],1,0.0,0.0
6,Fibonacci_Gain,0,134.75,151.25
7,Fibonacci_Golden_ratio,0,0.0,0.0
8,Fibonacci_Saturation,1,0.0,0.0
9,Fibonacci_Subtract,0,89.0,104.75
10,Fibonacci_Out1,1,13.5,13.5
11,Fibonacci_approximate_golden_ratio,0,89.0,89.0
12,Fibonacci_error,0,151.25,151.25
